/home/arise/Desktop/web_design/simulator.py:13: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
🚀 Simulator running — publishing every 5s...

📡 [2026-04-18T02:59:47.015775] Published: {'temperature': 28.36, 'humidity': 58.07, 'co2': 454, 'ch4': 6, 'pressure': 1012, 'light': 850}
📡 [2026-04-18T03:00:47.026464] Published: {'temperature': 29.59, 'humidity': 56.62, 'co2': 514, 'ch4': 13, 'pressure': 997, 'light': 265}
📡 [2026-04-18T03:00:52.027200] Published: {'temperature': 25.24, 'humidity': 53.06, 'co2': 852, 'ch4': 2, 'pressure': 1004, 'light': 591}
📡 [2026-04-18T03:00:57.027878] Published: {'temperature': 27.37, 'humidity': 60.45, 'co2': 581, 'ch4': 13, 'pressure': 1000, 'light': 906}
📡 [2026-04-18T03:01:02.028678] Published: {'temperature': 26.83, 'humidity': 76.17, 'co2': 1049, 'ch4': 11, 'pressure': 1024, 'light': 857}
📡 [2026-04-18T03:01:07.029060] Published: {'temperature': 25.38, 'humidity': 68.54, 'co2': 480, 'ch4': 5, 'pressure': 998, 'light': 881}
📡 [2026-04-18T03:01:12.029901] Published: {'temperature': 27.99, 'humidity': 62.54, 'co2': 711, 'ch4': 7, 'pressure': 996, 'light': 352}
📡 [2026-04-18T03:01:17.030824] Published: {'temperature': 27.59, 'humidity': 67.92, 'co2': 827, 'ch4': 13, 'pressure': 997, 'light': 695}
📡 [2026-04-18T03:01:22.032055] Published: {'temperature': 27.67, 'humidity': 63.0, 'co2': 737, 'ch4': 5, 'pressure': 1022, 'light': 576}
📡 [2026-04-18T03:01:27.032988] Published: {'temperature': 28.39, 'humidity': 71.96, 'co2': 549, 'ch4': 4, 'pressure': 993, 'light': 698}
📡 [2026-04-18T03:01:32.033704] Published: {'temperature': 28.15, 'humidity': 88.16, 'co2': 1035, 'ch4': 11, 'pressure': 993, 'light': 309}
📡 [2026-04-18T03:01:37.034768] Published: {'temperature': 28.77, 'humidity': 53.62, 'co2': 498, 'ch4': 11, 'pressure': 992, 'light': 989}
📡 [2026-04-18T03:01:42.035556] Published: {'temperature': 28.14, 'humidity': 66.29, 'co2': 693, 'ch4': 15, 'pressure': 1018, 'light': 162}
📡 [2026-04-18T03:01:47.036363] Published: {'temperature': 24.59, 'humidity': 68.84, 'co2': 1018, 'ch4': 5, 'pressure': 1013, 'light': 656}
📡 [2026-04-18T03:01:52.037068] Published: {'temperature': 28.03, 'humidity': 75.82, 'co2': 732, 'ch4': 12, 'pressure': 1025, 'light': 750}
📡 [2026-04-18T03:01:57.038207] Published: {'temperature': 29.87, 'humidity': 63.11, 'co2': 892, 'ch4': 2, 'pressure': 1013, 'light': 716}
📡 [2026-04-18T03:02:02.039096] Published: {'temperature': 28.92, 'humidity': 79.06, 'co2': 1026, 'ch4': 14, 'pressure': 998, 'light': 387}
📡 [2026-04-18T03:02:07.039919] Published: {'temperature': 24.39, 'humidity': 54.47, 'co2': 453, 'ch4': 3, 'pressure': 992, 'light': 848}
📡 [2026-04-18T03:02:12.040692] Published: {'temperature': 29.77, 'humidity': 63.95, 'co2': 648, 'ch4': 8, 'pressure': 1018, 'light': 707}
📡 [2026-04-18T03:02:17.041563] Published: {'temperature': 29.89, 'humidity': 58.66, 'co2': 568, 'ch4': 15, 'pressure': 999, 'light': 542}
📡 [2026-04-18T03:02:22.042681] Published: {'temperature': 24.25, 'humidity': 82.33, 'co2': 1060, 'ch4': 2, 'pressure': 999, 'light': 271}
📡 [2026-04-18T03:02:27.043810] Published: {'temperature': 24.64, 'humidity': 89.11, 'co2': 401, 'ch4': 4, 'pressure': 1002, 'light': 262}
📡 [2026-04-18T03:02:32.044709] Published: {'temperature': 28.22, 'humidity': 72.04, 'co2': 673, 'ch4': 3, 'pressure': 1025, 'light': 780}
📡 [2026-04-18T03:02:37.046211] Published: {'temperature': 24.64, 'humidity': 62.86, 'co2': 797, 'ch4': 11, 'pressure': 1006, 'light': 696}
📡 [2026-04-18T03:02:42.047224] Published: {'temperature': 29.91, 'humidity': 62.8, 'co2': 562, 'ch4': 14, 'pressure': 997, 'light': 489}
📡 [2026-04-18T03:02:47.048268] Published: {'temperature': 26.89, 'humidity': 62.17, 'co2': 806, 'ch4': 8, 'pressure': 1015, 'light': 529}
📡 [2026-04-18T03:02:52.049340] Published: {'temperature': 26.37, 'humidity': 72.27, 'co2': 984, 'ch4': 8, 'pressure': 1019, 'light': 366}
📡 [2026-04-18T03:02:57.050360] Published: {'temperature': 25.56, 'humidity': 59.27, 'co2': 583, 'ch4': 2, 'pressure': 1025, 'light': 477}
📡 [2026-04-18T03:03:02.051336] Published: {'temperature': 28.16, 'humidity': 78.12, 'co2': 933, 'ch4': 4, 'pressure': 1014, 'light': 603}
📡 [2026-04-18T03:03:07.052135] Published: {'temperature': 28.44, 'humidity': 52.02, 'co2': 927, 'ch4': 3, 'pressure': 1023, 'light': 729}
📡 [2026-04-18T03:03:12.053064] Published: {'temperature': 25.93, 'humidity': 86.35, 'co2': 631, 'ch4': 10, 'pressure': 1010, 'light': 147}
📡 [2026-04-18T03:03:17.053561] Published: {'temperature': 24.27, 'humidity': 70.46, 'co2': 829, 'ch4': 8, 'pressure': 991, 'light': 376}
📡 [2026-04-18T03:03:22.055327] Published: {'temperature': 28.03, 'humidity': 65.14, 'co2': 871, 'ch4': 8, 'pressure': 1003, 'light': 139}
📡 [2026-04-18T03:03:27.056407] Published: {'temperature': 25.66, 'humidity': 67.56, 'co2': 661, 'ch4': 10, 'pressure': 1018, 'light': 938}
📡 [2026-04-18T03:03:32.057703] Published: {'temperature': 29.39, 'humidity': 65.21, 'co2': 815, 'ch4': 2, 'pressure': 1018, 'light': 195}
📡 [2026-04-18T03:03:37.058636] Published: {'temperature': 29.27, 'humidity': 72.13, 'co2': 951, 'ch4': 4, 'pressure': 1001, 'light': 757}
📡 [2026-04-18T03:03:42.060531] Published: {'temperature': 28.98, 'humidity': 88.77, 'co2': 430, 'ch4': 8, 'pressure': 1021, 'light': 904}
📡 [2026-04-18T03:03:47.061586] Published: {'temperature': 24.56, 'humidity': 79.74, 'co2': 559, 'ch4': 13, 'pressure': 1023, 'light': 653}
📡 [2026-04-18T03:03:52.062615] Published: {'temperature': 26.93, 'humidity': 81.23, 'co2': 738, 'ch4': 15, 'pressure': 1009, 'light': 245}
📡 [2026-04-18T03:03:57.063656] Published: {'temperature': 29.49, 'humidity': 73.34, 'co2': 892, 'ch4': 3, 'pressure': 994, 'light': 475}
📡 [2026-04-18T03:04:02.065298] Published: {'temperature': 26.18, 'humidity': 58.3, 'co2': 542, 'ch4': 13, 'pressure': 995, 'light': 296}
📡 [2026-04-18T03:04:07.066312] Published: {'temperature': 24.24, 'humidity': 79.68, 'co2': 895, 'ch4': 5, 'pressure': 999, 'light': 973}
📡 [2026-04-18T03:04:12.067348] Published: {'temperature': 29.87, 'humidity': 72.42, 'co2': 664, 'ch4': 10, 'pressure': 1018, 'light': 822}
📡 [2026-04-18T03:04:17.068707] Published: {'temperature': 29.59, 'humidity': 70.03, 'co2': 829, 'ch4': 4, 'pressure': 990, 'light': 332}
📡 [2026-04-18T03:04:22.070283] Published: {'temperature': 26.51, 'humidity': 71.78, 'co2': 756, 'ch4': 10, 'pressure': 1005, 'light': 350}
📡 [2026-04-18T03:04:27.071429] Published: {'temperature': 29.03, 'humidity': 74.25, 'co2': 775, 'ch4': 2, 'pressure': 1011, 'light': 482}
📡 [2026-04-18T03:04:32.072732] Published: {'temperature': 26.68, 'humidity': 66.51, 'co2': 858, 'ch4': 12, 'pressure': 1014, 'light': 335}
📡 [2026-04-18T03:04:37.074080] Published: {'temperature': 26.04, 'humidity': 57.87, 'co2': 597, 'ch4': 9, 'pressure': 1016, 'light': 429}
📡 [2026-04-18T03:04:42.075079] Published: {'temperature': 29.27, 'humidity': 57.76, 'co2': 825, 'ch4': 3, 'pressure': 996, 'light': 432}
📡 [2026-04-18T03:04:47.075759] Published: {'temperature': 24.63, 'humidity': 80.3, 'co2': 997, 'ch4': 14, 'pressure': 993, 'light': 573}
📡 [2026-04-18T03:04:52.076401] Published: {'temperature': 26.09, 'humidity': 54.23, 'co2': 736, 'ch4': 8, 'pressure': 993, 'light': 807}
📡 [2026-04-18T03:04:57.077761] Published: {'temperature': 24.79, 'humidity': 57.65, 'co2': 755, 'ch4': 9, 'pressure': 1015, 'light': 678}
📡 [2026-04-18T03:05:02.078971] Published: {'temperature': 24.07, 'humidity': 79.72, 'co2': 495, 'ch4': 10, 'pressure': 1002, 'light': 334}
📡 [2026-04-18T03:05:07.080002] Published: {'temperature': 24.59, 'humidity': 75.14, 'co2': 529, 'ch4': 6, 'pressure': 990, 'light': 696}
📡 [2026-04-18T03:05:12.081157] Published: {'temperature': 26.14, 'humidity': 83.46, 'co2': 370, 'ch4': 1, 'pressure': 1008, 'light': 415}
📡 [2026-04-18T03:05:17.082199] Published: {'temperature': 29.24, 'humidity': 62.46, 'co2': 402, 'ch4': 9, 'pressure': 1003, 'light': 113}
📡 [2026-04-18T03:05:22.083426] Published: {'temperature': 28.51, 'humidity': 59.67, 'co2': 446, 'ch4': 13, 'pressure': 1009, 'light': 958}
📡 [2026-04-18T03:05:27.084752] Published: {'temperature': 29.62, 'humidity': 89.32, 'co2': 1038, 'ch4': 4, 'pressure': 1010, 'light': 919}
📡 [2026-04-18T03:05:32.085619] Published: {'temperature': 26.08, 'humidity': 53.65, 'co2': 707, 'ch4': 8, 'pressure': 998, 'light': 206}
📡 [2026-04-18T03:05:37.086713] Published: {'temperature': 26.36, 'humidity': 86.97, 'co2': 766, 'ch4': 14, 'pressure': 995, 'light': 909}
📡 [2026-04-18T03:05:42.087242] Published: {'temperature': 24.17, 'humidity': 76.24, 'co2': 420, 'ch4': 2, 'pressure': 1003, 'light': 713}
📡 [2026-04-18T03:05:47.088432] Published: {'temperature': 27.19, 'humidity': 75.1, 'co2': 505, 'ch4': 8, 'pressure': 1023, 'light': 936}
📡 [2026-04-18T03:05:52.089575] Published: {'temperature': 25.29, 'humidity': 76.47, 'co2': 547, 'ch4': 2, 'pressure': 992, 'light': 603}
📡 [2026-04-18T03:05:57.090848] Published: {'temperature': 29.91, 'humidity': 52.07, 'co2': 675, 'ch4': 12, 'pressure': 992, 'light': 398}
📡 [2026-04-18T03:06:02.091848] Published: {'temperature': 29.68, 'humidity': 53.32, 'co2': 914, 'ch4': 7, 'pressure': 1019, 'light': 410}
📡 [2026-04-18T03:06:07.092983] Published: {'temperature': 29.36, 'humidity': 82.82, 'co2': 583, 'ch4': 8, 'pressure': 1018, 'light': 156}
📡 [2026-04-18T03:06:12.094061] Published: {'temperature': 29.73, 'humidity': 51.71, 'co2': 439, 'ch4': 5, 'pressure': 1020, 'light': 877}
📡 [2026-04-18T03:06:17.095213] Published: {'temperature': 24.86, 'humidity': 54.42, 'co2': 553, 'ch4': 10, 'pressure': 1007, 'light': 500}
📡 [2026-04-18T03:06:22.096510] Published: {'temperature': 26.5, 'humidity': 77.37, 'co2': 1054, 'ch4': 15, 'pressure': 992, 'light': 667}
📡 [2026-04-18T03:06:27.097402] Published: {'temperature': 28.34, 'humidity': 82.56, 'co2': 829, 'ch4': 2, 'pressure': 993, 'light': 290}
📡 [2026-04-18T03:06:32.098401] Published: {'temperature': 25.1, 'humidity': 67.5, 'co2': 790, 'ch4': 7, 'pressure': 1015, 'light': 882}
📡 [2026-04-18T03:06:37.099732] Published: {'temperature': 29.54, 'humidity': 77.66, 'co2': 1043, 'ch4': 15, 'pressure': 997, 'light': 286}
📡 [2026-04-18T03:06:42.100669] Published: {'temperature': 29.86, 'humidity': 60.55, 'co2': 477, 'ch4': 6, 'pressure': 1019, 'light': 581}
📡 [2026-04-18T03:06:47.101882] Published: {'temperature': 26.95, 'humidity': 75.12, 'co2': 571, 'ch4': 2, 'pressure': 993, 'light': 875}
📡 [2026-04-18T03:06:52.103060] Published: {'temperature': 28.15, 'humidity': 68.03, 'co2': 578, 'ch4': 1, 'pressure': 1020, 'light': 734}
📡 [2026-04-18T03:06:57.104359] Published: {'temperature': 28.53, 'humidity': 86.82, 'co2': 606, 'ch4': 13, 'pressure': 1010, 'light': 624}
📡 [2026-04-18T03:07:02.105906] Published: {'temperature': 28.18, 'humidity': 68.15, 'co2': 466, 'ch4': 14, 'pressure': 1019, 'light': 542}
📡 [2026-04-18T03:07:07.106572] Published: {'temperature': 25.5, 'humidity': 62.16, 'co2': 1095, 'ch4': 12, 'pressure': 1022, 'light': 133}
📡 [2026-04-18T03:07:12.107512] Published: {'temperature': 28.18, 'humidity': 62.39, 'co2': 559, 'ch4': 6, 'pressure': 991, 'light': 568}
📡 [2026-04-18T03:07:17.108588] Published: {'temperature': 25.6, 'humidity': 75.77, 'co2': 996, 'ch4': 8, 'pressure': 1003, 'light': 817}
📡 [2026-04-18T03:07:22.109665] Published: {'temperature': 27.78, 'humidity': 64.98, 'co2': 685, 'ch4': 4, 'pressure': 1017, 'light': 743}
📡 [2026-04-18T03:07:27.110827] Published: {'temperature': 26.05, 'humidity': 74.66, 'co2': 999, 'ch4': 15, 'pressure': 1011, 'light': 609}
📡 [2026-04-18T03:07:32.112484] Published: {'temperature': 25.42, 'humidity': 59.06, 'co2': 1080, 'ch4': 12, 'pressure': 1006, 'light': 186}
📡 [2026-04-18T03:07:37.113765] Published: {'temperature': 28.01, 'humidity': 88.32, 'co2': 389, 'ch4': 13, 'pressure': 1003, 'light': 642}
📡 [2026-04-18T03:07:42.115968] Published: {'temperature': 25.2, 'humidity': 69.48, 'co2': 1020, 'ch4': 11, 'pressure': 997, 'light': 841}
📡 [2026-04-18T03:07:47.117611] Published: {'temperature': 24.75, 'humidity': 88.8, 'co2': 716, 'ch4': 7, 'pressure': 1009, 'light': 235}
📡 [2026-04-18T03:07:52.118897] Published: {'temperature': 24.62, 'humidity': 65.62, 'co2': 687, 'ch4': 11, 'pressure': 1006, 'light': 380}
📡 [2026-04-18T03:07:57.120074] Published: {'temperature': 24.69, 'humidity': 80.42, 'co2': 796, 'ch4': 10, 'pressure': 1010, 'light': 523}
📡 [2026-04-18T03:08:02.120892] Published: {'temperature': 24.52, 'humidity': 61.29, 'co2': 950, 'ch4': 3, 'pressure': 997, 'light': 862}
📡 [2026-04-18T03:08:07.121899] Published: {'temperature': 28.75, 'humidity': 59.74, 'co2': 607, 'ch4': 10, 'pressure': 999, 'light': 516}
📡 [2026-04-18T03:08:12.123223] Published: {'temperature': 25.19, 'humidity': 62.9, 'co2': 1079, 'ch4': 3, 'pressure': 1009, 'light': 646}
📡 [2026-04-18T03:08:17.124222] Published: {'temperature': 29.43, 'humidity': 83.59, 'co2': 946, 'ch4': 4, 'pressure': 1025, 'light': 666}
📡 [2026-04-18T03:08:22.125284] Published: {'temperature': 29.86, 'humidity': 59.67, 'co2': 757, 'ch4': 13, 'pressure': 1020, 'light': 148}
📡 [2026-04-18T03:08:27.125958] Published: {'temperature': 28.88, 'humidity': 88.71, 'co2': 600, 'ch4': 5, 'pressure': 1021, 'light': 480}
📡 [2026-04-18T03:08:32.127442] Published: {'temperature': 26.81, 'humidity': 60.98, 'co2': 594, 'ch4': 15, 'pressure': 1024, 'light': 539}
📡 [2026-04-18T03:08:37.128423] Published: {'temperature': 27.76, 'humidity': 79.26, 'co2': 1027, 'ch4': 2, 'pressure': 994, 'light': 295}
📡 [2026-04-18T03:08:42.129011] Published: {'temperature': 29.33, 'humidity': 85.81, 'co2': 829, 'ch4': 8, 'pressure': 1010, 'light': 655}
📡 [2026-04-18T03:08:47.130207] Published: {'temperature': 27.86, 'humidity': 78.46, 'co2': 1002, 'ch4': 6, 'pressure': 992, 'light': 195}
📡 [2026-04-18T03:08:52.131322] Published: {'temperature': 28.01, 'humidity': 59.98, 'co2': 777, 'ch4': 1, 'pressure': 1016, 'light': 375}
📡 [2026-04-18T03:08:57.132579] Published: {'temperature': 27.68, 'humidity': 69.98, 'co2': 1088, 'ch4': 5, 'pressure': 1024, 'light': 233}
📡 [2026-04-18T03:09:02.133647] Published: {'temperature': 26.7, 'humidity': 76.56, 'co2': 728, 'ch4': 5, 'pressure': 1016, 'light': 487}
📡 [2026-04-18T03:09:07.134704] Published: {'temperature': 28.87, 'humidity': 80.03, 'co2': 526, 'ch4': 11, 'pressure': 1008, 'light': 453}
📡 [2026-04-18T03:09:12.135931] Published: {'temperature': 27.27, 'humidity': 77.23, 'co2': 630, 'ch4': 8, 'pressure': 1001, 'light': 103}
📡 [2026-04-18T03:09:17.137105] Published: {'temperature': 27.69, 'humidity': 61.72, 'co2': 376, 'ch4': 2, 'pressure': 1000, 'light': 837}
📡 [2026-04-18T03:09:22.137646] Published: {'temperature': 29.2, 'humidity': 84.52, 'co2': 1046, 'ch4': 7, 'pressure': 995, 'light': 263}
📡 [2026-04-18T03:09:27.138868] Published: {'temperature': 28.03, 'humidity': 79.01, 'co2': 428, 'ch4': 9, 'pressure': 1011, 'light': 947}
📡 [2026-04-18T03:09:32.140452] Published: {'temperature': 29.25, 'humidity': 77.54, 'co2': 525, 'ch4': 15, 'pressure': 1022, 'light': 746}
📡 [2026-04-18T03:09:37.141518] Published: {'temperature': 29.06, 'humidity': 74.45, 'co2': 637, 'ch4': 5, 'pressure': 1024, 'light': 550}
📡 [2026-04-18T03:09:42.142024] Published: {'temperature': 27.47, 'humidity': 79.53, 'co2': 392, 'ch4': 7, 'pressure': 1009, 'light': 361}
📡 [2026-04-18T03:09:47.143098] Published: {'temperature': 24.16, 'humidity': 56.79, 'co2': 927, 'ch4': 12, 'pressure': 1010, 'light': 657}
📡 [2026-04-18T03:09:52.144129] Published: {'temperature': 24.91, 'humidity': 71.46, 'co2': 412, 'ch4': 6, 'pressure': 1011, 'light': 449}
📡 [2026-04-18T03:09:57.145225] Published: {'temperature': 24.9, 'humidity': 88.32, 'co2': 465, 'ch4': 13, 'pressure': 991, 'light': 212}
📡 [2026-04-18T03:10:02.146135] Published: {'temperature': 27.33, 'humidity': 68.93, 'co2': 626, 'ch4': 7, 'pressure': 1021, 'light': 374}
📡 [2026-04-18T03:10:07.147278] Published: {'temperature': 27.8, 'humidity': 76.36, 'co2': 747, 'ch4': 13, 'pressure': 995, 'light': 519}
📡 [2026-04-18T03:10:12.148856] Published: {'temperature': 24.93, 'humidity': 76.73, 'co2': 427, 'ch4': 5, 'pressure': 1011, 'light': 297}
📡 [2026-04-18T03:10:17.149701] Published: {'temperature': 26.88, 'humidity': 66.84, 'co2': 655, 'ch4': 3, 'pressure': 997, 'light': 361}
📡 [2026-04-18T03:10:22.150887] Published: {'temperature': 27.54, 'humidity': 87.46, 'co2': 1071, 'ch4': 4, 'pressure': 991, 'light': 112}
📡 [2026-04-18T03:10:27.152019] Published: {'temperature': 27.98, 'humidity': 54.95, 'co2': 934, 'ch4': 2, 'pressure': 996, 'light': 158}
📡 [2026-04-18T03:10:32.153548] Published: {'temperature': 27.17, 'humidity': 63.25, 'co2': 529, 'ch4': 7, 'pressure': 995, 'light': 388}
📡 [2026-04-18T03:10:37.154738] Published: {'temperature': 28.22, 'humidity': 86.94, 'co2': 964, 'ch4': 10, 'pressure': 1016, 'light': 908}
📡 [2026-04-18T03:10:42.155866] Published: {'temperature': 27.2, 'humidity': 56.34, 'co2': 631, 'ch4': 4, 'pressure': 1002, 'light': 495}
📡 [2026-04-18T03:10:47.156621] Published: {'temperature': 29.87, 'humidity': 76.59, 'co2': 877, 'ch4': 6, 'pressure': 1006, 'light': 502}
📡 [2026-04-18T03:10:52.157592] Published: {'temperature': 29.85, 'humidity': 60.31, 'co2': 386, 'ch4': 12, 'pressure': 1021, 'light': 665}
📡 [2026-04-18T03:10:57.158440] Published: {'temperature': 28.17, 'humidity': 57.77, 'co2': 879, 'ch4': 4, 'pressure': 1021, 'light': 520}
📡 [2026-04-18T03:11:02.159031] Published: {'temperature': 24.67, 'humidity': 77.57, 'co2': 992, 'ch4': 4, 'pressure': 992, 'light': 153}
📡 [2026-04-18T03:11:07.160557] Published: {'temperature': 25.16, 'humidity': 84.88, 'co2': 751, 'ch4': 13, 'pressure': 1008, 'light': 558}
📡 [2026-04-18T03:11:12.161905] Published: {'temperature': 29.74, 'humidity': 87.64, 'co2': 871, 'ch4': 2, 'pressure': 998, 'light': 463}
📡 [2026-04-18T03:11:17.163279] Published: {'temperature': 29.54, 'humidity': 70.81, 'co2': 663, 'ch4': 1, 'pressure': 994, 'light': 459}
📡 [2026-04-18T03:11:22.164583] Published: {'temperature': 27.53, 'humidity': 58.09, 'co2': 847, 'ch4': 7, 'pressure': 997, 'light': 769}
📡 [2026-04-18T03:11:27.165482] Published: {'temperature': 24.55, 'humidity': 83.09, 'co2': 887, 'ch4': 15, 'pressure': 1015, 'light': 857}
📡 [2026-04-18T03:11:32.166482] Published: {'temperature': 29.56, 'humidity': 69.66, 'co2': 377, 'ch4': 15, 'pressure': 1025, 'light': 751}
📡 [2026-04-18T03:11:37.167571] Published: {'temperature': 27.32, 'humidity': 77.24, 'co2': 624, 'ch4': 4, 'pressure': 990, 'light': 307}
📡 [2026-04-18T03:11:42.168937] Published: {'temperature': 27.88, 'humidity': 66.17, 'co2': 379, 'ch4': 14, 'pressure': 1024, 'light': 146}
📡 [2026-04-18T03:11:47.170477] Published: {'temperature': 24.76, 'humidity': 81.72, 'co2': 914, 'ch4': 5, 'pressure': 997, 'light': 383}
📡 [2026-04-18T03:11:52.171522] Published: {'temperature': 24.96, 'humidity': 64.65, 'co2': 861, 'ch4': 14, 'pressure': 990, 'light': 282}
📡 [2026-04-18T03:11:57.172448] Published: {'temperature': 29.66, 'humidity': 69.25, 'co2': 538, 'ch4': 10, 'pressure': 994, 'light': 109}
📡 [2026-04-18T03:12:02.173942] Published: {'temperature': 25.32, 'humidity': 86.32, 'co2': 937, 'ch4': 13, 'pressure': 990, 'light': 256}
📡 [2026-04-18T03:12:07.174960] Published: {'temperature': 29.42, 'humidity': 89.18, 'co2': 984, 'ch4': 11, 'pressure': 1001, 'light': 633}
📡 [2026-04-18T03:12:12.175983] Published: {'temperature': 24.9, 'humidity': 60.02, 'co2': 820, 'ch4': 6, 'pressure': 1021, 'light': 294}
📡 [2026-04-18T03:12:17.176852] Published: {'temperature': 29.54, 'humidity': 69.26, 'co2': 525, 'ch4': 14, 'pressure': 990, 'light': 312}
📡 [2026-04-18T03:12:22.177426] Published: {'temperature': 27.13, 'humidity': 53.75, 'co2': 981, 'ch4': 13, 'pressure': 1022, 'light': 322}
📡 [2026-04-18T03:12:27.178024] Published: {'temperature': 29.26, 'humidity': 88.22, 'co2': 901, 'ch4': 11, 'pressure': 1022, 'light': 908}
📡 [2026-04-18T03:12:32.179908] Published: {'temperature': 29.95, 'humidity': 50.82, 'co2': 382, 'ch4': 5, 'pressure': 1001, 'light': 784}
📡 [2026-04-18T03:12:37.180786] Published: {'temperature': 25.87, 'humidity': 80.78, 'co2': 461, 'ch4': 4, 'pressure': 1020, 'light': 363}
📡 [2026-04-18T03:12:42.181609] Published: {'temperature': 25.15, 'humidity': 89.98, 'co2': 1040, 'ch4': 15, 'pressure': 1014, 'light': 145}
📡 [2026-04-18T03:12:47.182575] Published: {'temperature': 29.33, 'humidity': 54.57, 'co2': 408, 'ch4': 10, 'pressure': 996, 'light': 425}
📡 [2026-04-18T03:12:52.182942] Published: {'temperature': 26.26, 'humidity': 67.9, 'co2': 439, 'ch4': 5, 'pressure': 1014, 'light': 583}
📡 [2026-04-18T03:12:57.184030] Published: {'temperature': 25.98, 'humidity': 59.02, 'co2': 779, 'ch4': 9, 'pressure': 1025, 'light': 368}
📡 [2026-04-18T03:13:02.185056] Published: {'temperature': 25.08, 'humidity': 68.05, 'co2': 383, 'ch4': 8, 'pressure': 1016, 'light': 276}
📡 [2026-04-18T03:13:07.185891] Published: {'temperature': 25.98, 'humidity': 83.26, 'co2': 365, 'ch4': 1, 'pressure': 1018, 'light': 853}
📡 [2026-04-18T03:13:12.186769] Published: {'temperature': 24.09, 'humidity': 61.08, 'co2': 499, 'ch4': 6, 'pressure': 1017, 'light': 481}
📡 [2026-04-18T03:13:17.187812] Published: {'temperature': 25.27, 'humidity': 84.33, 'co2': 685, 'ch4': 6, 'pressure': 1009, 'light': 701}
📡 [2026-04-18T03:13:22.188835] Published: {'temperature': 24.82, 'humidity': 69.22, 'co2': 581, 'ch4': 1, 'pressure': 1004, 'light': 751}
📡 [2026-04-18T03:13:27.189525] Published: {'temperature': 25.11, 'humidity': 68.83, 'co2': 794, 'ch4': 5, 'pressure': 1009, 'light': 217}
📡 [2026-04-18T03:13:32.190646] Published: {'temperature': 27.33, 'humidity': 54.37, 'co2': 814, 'ch4': 3, 'pressure': 1012, 'light': 663}
📡 [2026-04-18T03:13:37.192580] Published: {'temperature': 28.25, 'humidity': 69.85, 'co2': 865, 'ch4': 13, 'pressure': 1016, 'light': 701}
📡 [2026-04-18T03:13:42.194111] Published: {'temperature': 29.93, 'humidity': 69.2, 'co2': 747, 'ch4': 15, 'pressure': 1021, 'light': 686}
📡 [2026-04-18T03:13:47.195832] Published: {'temperature': 29.81, 'humidity': 74.41, 'co2': 924, 'ch4': 4, 'pressure': 994, 'light': 258}
📡 [2026-04-18T03:13:52.196726] Published: {'temperature': 26.17, 'humidity': 58.93, 'co2': 694, 'ch4': 6, 'pressure': 1013, 'light': 881}
📡 [2026-04-18T03:13:57.197586] Published: {'temperature': 25.08, 'humidity': 73.0, 'co2': 649, 'ch4': 12, 'pressure': 1011, 'light': 212}
📡 [2026-04-18T03:14:02.198568] Published: {'temperature': 25.62, 'humidity': 80.0, 'co2': 1050, 'ch4': 15, 'pressure': 1022, 'light': 430}
